,Quarter,Tm,Detail,DET,CRD
0,1.0,Lions,Dick Booth 4 yard rush (Chuck Hanneman kick),7,0
1,2.0,Cardinals,Johnny Hall 11 yard pass from Marshall Goldberg (Lou Zontini kick),7,7
2,2.0,Cardinals,Johnny Clement 2 yard rush (Lou Zontini kick),7,14
3,3.0,Lions,Chuck Hanneman 46 yard pass from Whizzer White (Chuck Hanneman kick),14,14
