,Quarter,Time,Tm,Detail,MIN,ATL
0,1.0,,Vikings,Scott Sisson 26 yard field goal,3,0
1,1.0,,Falcons,Morten Andersen 20 yard field goal,3,3
2,2.0,,Vikings,Cris Carter 7 yard pass from Brad Johnson (Scott Sisson kick),10,3
3,3.0,,Falcons,Terance Mathis 3 yard pass from Jeff George (Morten Andersen kick),10,10
4,3.0,,Falcons,Terance Mathis 10 yard pass from Jeff George (Morten Andersen kick),10,17
5,4.0,,Vikings,Scott Sisson 30 yard field goal,13,17
6,4.0,,Vikings,David Frisch 3 yard pass from Brad Johnson (Scott Sisson kick),20,17
7,4.0,,Vikings,Scott Sisson 21 yard field goal,23,17
