,Quarter,Tm,Detail,COL,NYG
0,1.0,Giants,Dutch Hendrian 35 yard pass from Jack McBride (Jack McBride kick),0,7
1,4.0,Giants,Bill Rooney 20 yard rush,0,13
2,4.0,Giants,Doc Alexander 50 yard interception return,0,19
