,Quarter,Tm,Detail,BAL,MIA
0,1.0,Colts,Roger Carr 25 yard pass from Bert Jones (Steve Mike-Mayer kick),7,0
1,1.0,Colts,Steve Mike-Mayer 45 yard field goal,10,0
2,1.0,Dolphins,Uwe von Schamann 24 yard field goal,10,3
3,2.0,Dolphins,Nick Giaquinto 15 yard pass from Bob Griese (Uwe von Schamann kick),10,10
4,2.0,Dolphins,Duriel Harris 4 yard pass from Bob Griese (Uwe von Schamann kick),10,17
5,3.0,Colts,Curtis Dickey 1 yard pass from Bert Jones (Steve Mike-Mayer kick),17,17
6,4.0,Colts,Roger Carr 8 yard pass from Bert Jones (Steve Mike-Mayer kick),24,17
7,4.0,Colts,Bert Jones 9 yard rush,30,17
