,Quarter,Time,Tm,Detail,STL,SFO
0,1.0,13:25,49ers,Charlie Garner 4 yard rush (Wade Richey kick),0,7
1,1.0,3:59,Rams,Marshall Faulk 1 yard rush (Pete Stoyanovich kick),7,7
2,2.0,13:01,49ers,Wade Richey 44 yard field goal,7,10
3,2.0,2:54,Rams,Marshall Faulk 1 yard rush (Pete Stoyanovich kick),14,10
4,2.0,1:44,49ers,Terrell Owens 53 yard pass from Jeff Garcia (Wade Richey kick),14,17
5,3.0,12:50,Rams,Pete Stoyanovich 48 yard field goal,17,17
6,3.0,8:10,49ers,Terrell Owens 17 yard pass from Jeff Garcia (Wade Richey kick),17,24
7,3.0,3:38,Rams,Marshall Faulk 19 yard pass from Trent Green (Pete Stoyanovich kick),24,24
8,4.0,10:21,Rams,Marshall Faulk 16 yard pass from Trent Green (Pete Stoyanovich kick),31,24
9,4.0,3:45,Rams,Pete Stoyanovich 46 yard field goal,34,24
