,Quarter,Time,Tm,Detail,TAM,CHI
0,1.0,12:20,Bears,Trey Burton 39 yard pass from Mitchell Trubisky (Cody Parkey kick),0,7
1,1.0,2:11,Bears,Allen Robinson 14 yard pass from Mitchell Trubisky (Cody Parkey kick),0,14
2,2.0,14:55,Buccaneers,Chandler Catanzaro 30 yard field goal,3,14
3,2.0,12:21,Bears,Tarik Cohen 9 yard pass from Mitchell Trubisky (Cody Parkey kick),3,21
4,2.0,8:59,Bears,Josh Bellamy 20 yard pass from Mitchell Trubisky (Cody Parkey kick),3,28
5,2.0,4:56,Bears,Taylor Gabriel 3 yard pass from Mitchell Trubisky (Cody Parkey kick),3,35
6,2.0,0:00,Bears,Cody Parkey 50 yard field goal,3,38
7,3.0,10:28,Bears,Taylor Gabriel 3 yard pass from Mitchell Trubisky (Cody Parkey kick),3,45
8,4.0,13:30,Buccaneers,Cameron Brate 16 yard pass from Jameis Winston (Chandler Catanzaro kick),10,45
9,4.0,6:23,Bears,Cody Parkey 46 yard field goal,10,48
