,Quarter,Tm,Detail,ATL,DET
0,1.0,Lions,Freddie Scott 15 yard pass from Jeff Komlo (Benny Ricardo kick),0,7
1,2.0,Falcons,Tim Mazzetti 24 yard field goal,3,7
2,2.0,Lions,Benny Ricardo 20 yard field goal,3,10
3,3.0,Falcons,Steve Bartkowski 1 yard rush (Tim Mazzetti kick),10,10
4,3.0,Falcons,Tim Mazzetti 26 yard field goal,13,10
5,3.0,Falcons,Tim Mazzetti 22 yard field goal,16,10
6,4.0,Lions,Luther Blue 13 yard pass from Jeff Komlo (Benny Ricardo kick),16,17
7,4.0,Lions,Rick Kane 26 yard rush (Benny Ricardo kick),16,24
8,4.0,Falcons,Haskel Stanback 55 yard rush (Tim Mazzetti kick),23,24
