,Quarter,Tm,Detail,CHI,PHI
0,1.0,Bears,Bobby Douglass 19 yard rush (Mac Percival kick),7,0
1,2.0,Eagles,Kent Kramer 16 yard pass from John Reaves (Tom Dempsey kick),7,7
2,2.0,Eagles,Tom Dempsey 33 yard field goal,7,10
3,2.0,Eagles,"Safety, Green tackled by Coleman in end zone",7,12
4,3.0,Bears,Roger Lawson 1 yard rush (Mac Percival kick),14,12
5,4.0,Bears,Bobby Douglass 32 yard rush (Dick Butkus pass from Bobby Douglass ),21,12
