,Quarter,Tm,Detail,SEA,HOU
0,1,Seahawks,Steve Largent 20 yard pass from Dave Krieg (Norm Johnson kick),7,0
1,1,Oilers,Tony Zendejas 47 yard field goal,7,3
2,2,Oilers,Mike Rozier 1 yard rush (Tony Zendejas kick),7,10
3,2,Oilers,Tony Zendejas 49 yard field goal,7,13
4,2,Seahawks,Norm Johnson 33 yard field goal,10,13
5,3,Seahawks,Norm Johnson 41 yard field goal,13,13
6,3,Oilers,Willie Drewrey 29 yard pass from Warren Moon (Tony Zendejas kick),13,20
7,4,Seahawks,Steve Largent 12 yard pass from Dave Krieg (Norm Johnson kick),20,20
8,OT,Oilers,Tony Zendejas 42 yard field goal,20,23
