,Quarter,Tm,Detail,RAC,GNB
0,1.0,Packers,Dick Flaherty 15 yard pass from Jack McAuliffe (Pid Purdy kick),0,7
1,1.0,Packers,Myrt Basing unknown yard rush (Pid Purdy kick),0,14
2,2.0,Packers,Eddie Kotal unknown yard pass from Charlie Mathys (Whitey Woodin kick),0,21
3,4.0,Packers,Jack Harris unknown yard rush (Pid Purdy kick),0,28
4,4.0,Packers,Jack Harris 1 yard rush (Pid Purdy kick),0,35
