,Quarter,Tm,Detail,DEN,NYG
0,1.0,Broncos,Rich Karlis 40 yard field goal,3,0
1,2.0,Giants,Raul Allegre 31 yard field goal,3,3
2,2.0,Broncos,Rich Karlis 32 yard field goal,6,3
3,2.0,Giants,George Martin 78 yard interception return (Raul Allegre kick),6,10
4,3.0,Giants,Raul Allegre 45 yard field goal,6,13
5,3.0,Broncos,Rich Karlis 42 yard field goal,9,13
6,4.0,Giants,Raul Allegre 46 yard field goal,9,16
7,4.0,Broncos,Sammy Winder 4 yard rush (Rich Karlis kick),16,16
8,4.0,Giants,Raul Allegre 34 yard field goal,16,19
