,Quarter,Time,Tm,Detail,ARI,SFO
0,1.0,10:19,49ers,Joe Nedney 49 yard field goal,0,3
1,1.0,7:41,Cardinals,Neil Rackers 25 yard field goal,3,3
2,1.0,0:59,Cardinals,Marcel Shipp 5 yard rush (Neil Rackers kick),10,3
3,2.0,8:07,Cardinals,Larry Fitzgerald 6 yard pass from Matt Leinart (Neil Rackers kick),17,3
4,2.0,1:57,Cardinals,Neil Rackers 39 yard field goal,20,3
5,2.0,0:22,49ers,Joe Nedney 32 yard field goal,20,6
6,3.0,6:25,49ers,Frank Gore 2 yard rush (Joe Nedney kick),20,13
7,4.0,14:57,Cardinals,Neil Rackers 37 yard field goal,23,13
8,4.0,8:28,Cardinals,Neil Rackers 32 yard field goal,26,13
9,4.0,5:00,49ers,Frank Gore 1 yard rush (Joe Nedney kick),26,20
