,Quarter,Tm,Detail,DUL,PRV
0,1.0,Eskimos,Ernie Nevers unknown yard rush (Ernie Nevers kick),7,0
1,1.0,Steam Roller,Bill Cronin 5 yard rush (Gus Sonnenberg kick),7,7
2,4.0,Steam Roller,Curly Oden 74 yard punt return,7,13
