,Quarter,Tm,Detail,SFO,ATL
0,1.0,Falcons,Alfred Jackson 29 yard pass from Steve Bartkowski (Mick Luckhurst kick),0,7
1,1.0,Falcons,Mick Luckhurst 47 yard field goal,0,10
2,1.0,Falcons,Lynn Cain 18 yard pass from Steve Bartkowski (Mick Luckhurst kick),0,17
3,2.0,49ers,Charle Young 11 yard pass from Joe Montana (Matt Bahr kick),7,17
4,2.0,49ers,Matt Bahr 47 yard field goal,10,17
5,2.0,Falcons,Alfred Jenkins 15 yard pass from Steve Bartkowski (Mick Luckhurst kick),10,24
6,3.0,Falcons,Tom Pridemore 101 yard interception return (Mick Luckhurst kick),10,31
7,3.0,Falcons,Mick Luckhurst 18 yard field goal,10,34
8,4.0,49ers,Freddie Solomon 12 yard pass from Joe Montana (Matt Bahr kick),17,34
