,Quarter,Tm,Detail,CHI,WAS
0,1.0,Bears,George Blanda 15 yard field goal,3,0
1,2.0,Bears,Chuck Hunsinger 5 yard rush (George Blanda kick),10,0
2,2.0,Bears,Don Kindt 7 yard pass from Steve Romanik (George Blanda kick),17,0
3,3.0,Bears,Julie Rykovich 11 yard rush (George Blanda kick),24,0
4,4.0,Bears,George Blanda 40 yard field goal,27,0
