,Quarter,Tm,Detail,PHI,DAL
0,1.0,Cowboys,Tony Dorsett 1 yard rush (Efren Herrera kick),0,7
1,2.0,Eagles,Mike Hogan 51 yard pass from Ron Jaworski (Nick Mike-Mayer kick),7,7
2,2.0,Cowboys,Drew Pearson 16 yard pass from Roger Staubach (Efren Herrera kick),7,14
3,3.0,Eagles,Harold Carmichael 12 yard pass from Ron Jaworski (Nick Mike-Mayer kick),14,14
4,3.0,Cowboys,Efren Herrera 24 yard field goal,14,17
5,4.0,Cowboys,Tony Dorsett 84 yard rush (Efren Herrera kick),14,24
