,Quarter,Tm,Detail,GNB,NYG
0,1.0,Giants,Mark Bavaro 24 yard pass from Phil Simms (Raul Allegre kick),0,7
1,1.0,Giants,Tom Flynn 36 yard blocked punt return (Raul Allegre kick),0,14
2,1.0,Giants,Joe Morris 3 yard rush (Raul Allegre kick),0,21
3,2.0,Giants,Raul Allegre 46 yard field goal,0,24
4,2.0,Packers,Eddie Lee Ivery 13 yard pass from Randy Wright (Al Del Greco kick),7,24
5,2.0,Packers,Ken Stills 58 yard interception return (Al Del Greco kick),14,24
6,2.0,Packers,Al Del Greco 34 yard field goal,17,24
7,3.0,Giants,Mark Bavaro 4 yard pass from Phil Simms (Raul Allegre kick),17,31
8,3.0,Packers,Kenneth Davis 15 yard pass from Randy Wright (Al Del Greco kick),24,31
9,3.0,Giants,Zeke Mowatt 22 yard pass from Phil Simms (Raul Allegre kick),24,38
10,4.0,Giants,Lee Rouson 10 yard rush (Raul Allegre kick),24,45
11,4.0,Giants,Lee Rouson 21 yard rush (Raul Allegre kick),24,52
12,4.0,Giants,Raul Allegre 26 yard field goal,24,55
