,Quarter,Tm,Detail,SDG,NYG
0,1.0,Giants,Ron Johnson 1 yard rush (Pete Gogolak kick),0,7
1,2.0,Giants,Charlie Evans 9 yard rush (Pete Gogolak kick),0,14
2,2.0,Giants,Rich Kotite 43 yard pass from Fran Tarkenton (Pete Gogolak kick),0,21
3,2.0,Chargers,Dennis Partee 28 yard field goal,3,21
4,3.0,Chargers,Gary Garrison 7 yard pass from John Hadl (Dennis Partee kick),10,21
5,3.0,Chargers,Gary Garrison 21 yard pass from Mike Montgomery (Dennis Partee kick),17,21
6,4.0,Giants,Charlie Evans 1 yard rush (Pete Gogolak kick),17,28
7,4.0,Giants,Charlie Evans 1 yard rush (Pete Gogolak kick),17,35
