,Quarter,Tm,Detail,KAN,WAS
0,1.0,Redskins,Mark Moseley 30 yard field goal,0,3
1,1.0,Chiefs,Jan Stenerud 37 yard field goal,3,3
2,1.0,Chiefs,Jan Stenerud 52 yard field goal,6,3
3,2.0,Chiefs,Jan Stenerud 38 yard field goal,9,3
4,2.0,Redskins,Joe Theismann 1 yard rush (Mark Moseley kick),9,10
5,2.0,Chiefs,Walter White 33 yard pass from Mike Livingston (Jan Stenerud kick),16,10
6,3.0,Chiefs,MacArthur Lane 6 yard rush (Jan Stenerud kick),23,10
7,4.0,Redskins,Jerry Smith 5 yard pass from Joe Theismann (Mark Moseley kick),23,17
8,4.0,Redskins,Frank Grant 37 yard pass from Joe Theismann (Mark Moseley kick),23,24
9,4.0,Chiefs,Jan Stenerud 45 yard field goal,26,24
10,4.0,Redskins,John Riggins 6 yard rush,26,30
11,4.0,Chiefs,Larry Brunson 36 yard pass from Mike Livingston (Jan Stenerud kick),33,30
