,Quarter,Tm,Detail,STL,DET
0,2.0,Lions,Eddie Murray 25 yard field goal,0,3
1,2.0,Lions,Horace King 13 yard pass from Gary Danielson (Eddie Murray kick),0,10
2,2.0,Cardinals,Mel Gray 63 yard pass from Jim Hart (Steve Little kick),7,10
3,4.0,Lions,Billy Sims 13 yard rush (Eddie Murray kick),7,17
4,4.0,Lions,Eddie Murray 34 yard field goal,7,20
