,Quarter,Tm,Detail,GNB,PHI
0,2.0,Packers,Clarke Hinkle 39 yard field goal,3,0
1,2.0,Eagles,Eggs Manske 4 yard pass from Ed Matesic,3,6
2,3.0,Packers,Clarke Hinkle 47 yard rush (Ade Schwammel kick),10,6
3,4.0,Packers,Ade Schwammel 37 yard field goal,13,6
