,Quarter,Time,Tm,Detail,CHI,MIN
0,2.0,,Vikings,Fuad Reveiz 22 yard field goal,0,3
1,2.0,,Bears,Jim Flanigan 4 yard pass from Erik Kramer (Kevin Butler kick),7,3
2,2.0,,Bears,Curtis Conway 48 yard pass from Erik Kramer (Kevin Butler kick),14,3
3,3.0,,Vikings,Fuad Reveiz 43 yard field goal,14,6
