,Quarter,Time,Tm,Detail,CAR,ATL
0,1.0,,Falcons,Morten Andersen 25 yard field goal,0,3
1,1.0,,Falcons,Jamal Anderson 32 yard rush (Morten Andersen kick),0,10
2,1.0,,Panthers,John Kasay 40 yard field goal,3,10
3,2.0,,Panthers,Anthony Johnson 6 yard rush (John Kasay kick),10,10
4,2.0,,Falcons,Morten Andersen 45 yard field goal,10,13
5,4.0,,Falcons,J.J. Birden 15 yard pass from Bobby Hebert (Morten Andersen kick),10,20
6,4.0,,Panthers,Mark Carrier 12 yard pass from Steve Beuerlein (John Kasay kick),17,20
