,Quarter,Tm,Detail,BKN,GNB
0,1.0,Packers,Don Hutson 32 yard pass from Cecil Isbell (Don Hutson kick),0,7
1,1.0,Packers,Andy Uram 90 yard punt return,0,13
2,2.0,Packers,Clarke Hinkle 24 yard field goal,0,16
3,3.0,Packers,Don Hutson 18 yard rush (Clarke Hinkle kick),0,23
4,3.0,Dodgers,Perry Schwartz 12 yard pass from Ace Parker (Bruiser Kinard kick),7,23
5,4.0,Packers,Tony Canadeo 12 yard rush (Ed Jankowski kick),7,30
