,Quarter,Tm,Detail,MIA,NWE
0,1.0,Dolphins,Mercury Morris 94 yard kickoff return (Garo Yepremian kick),7,0
1,1.0,Patriots,Jim Nance 6 yard rush (Charlie Gogolak kick),7,7
2,1.0,Patriots,Randy Vataha 26 yard pass from Jim Plunkett (Charlie Gogolak kick),7,14
3,1.0,Patriots,Charlie Gogolak 37 yard field goal,7,17
4,2.0,Dolphins,Garo Yepremian 26 yard field goal,10,17
5,2.0,Patriots,Charlie Gogolak 35 yard field goal,10,20
6,3.0,Dolphins,Garo Yepremian 30 yard field goal,13,20
7,3.0,Patriots,Randy Vataha 25 yard pass from Jim Plunkett (Charlie Gogolak kick),13,27
8,3.0,Patriots,Larry Carwell 53 yard interception return (Charlie Gogolak kick),13,34
