,Quarter,Tm,Detail,NWE,MIA
0,2.0,Dolphins,Gary Davis 1 yard rush (Garo Yepremian kick),0,7
1,4.0,Patriots,John Smith 35 yard field goal,3,7
2,4.0,Dolphins,Garo Yepremian 33 yard field goal,3,10
3,4.0,Dolphins,Nat Moore 26 yard pass from Bob Griese (Garo Yepremian kick),3,17
4,4.0,Patriots,"Safety, Clayborn tackled Michel in end zone",5,17
