,Quarter,Tm,Detail,TAM,GNB
0,2.0,Packers,Chris Jacke 24 yard field goal,0,3
1,3.0,Buccaneers,Michael Husted 30 yard field goal,3,3
2,3.0,Packers,Chris Jacke 36 yard field goal,3,6
3,4.0,Buccaneers,Courtney Hawkins 9 yard pass from Craig Erickson (Michael Husted kick),10,6
4,4.0,Packers,Sterling Sharpe 2 yard pass from Brett Favre (Chris Jacke kick),10,13
