,Quarter,Tm,Detail,BAL,BUF
0,1.0,Colts,George Hunt 19 yard field goal,3,0
1,2.0,Bills,Larry Watkins 10 yard pass from Joe Ferguson (John Leypoldt kick),3,7
2,2.0,Colts,George Hunt 22 yard field goal,6,7
3,2.0,Bills,John Leypoldt 52 yard field goal,6,10
4,3.0,Bills,O.J. Simpson 3 yard rush (John Leypoldt kick),6,17
5,4.0,Bills,Joe Ferguson 1 yard rush (John Leypoldt kick),6,24
6,4.0,Bills,O.J. Simpson 78 yard rush (John Leypoldt kick),6,31
7,4.0,Colts,Bill Olds 1 yard rush (George Hunt kick),13,31
