,Quarter,Tm,Detail,PIT,DAL
0,1.0,Steelers,John Stallworth 8 yard pass from Terry Bradshaw,6,0
1,1.0,Cowboys,Drew Pearson 4 yard pass from Danny White (Rafael Septien kick),6,7
2,2.0,Steelers,Jim Smith 7 yard pass from Terry Bradshaw (Gary Anderson kick),13,7
3,2.0,Cowboys,Doug Cosbie 12 yard pass from Danny White (Rafael Septien kick),13,14
4,3.0,Steelers,Frank Pollard 1 yard rush (Gary Anderson kick),20,14
5,3.0,Steelers,Jim Smith 15 yard pass from Terry Bradshaw (Gary Anderson kick),27,14
6,3.0,Steelers,Gary Anderson 26 yard field goal,30,14
7,4.0,Steelers,Gary Anderson 43 yard field goal,33,14
8,4.0,Cowboys,Tony Hill 45 yard pass from Danny White (Rafael Septien kick),33,21
9,4.0,Cowboys,Billy Joe DuPree 5 yard pass from Danny White (Rafael Septien kick),33,28
10,4.0,Steelers,Gary Anderson 40 yard field goal,36,28
