,Quarter,Time,Tm,Detail,ARI,SDG
0,2.0,,Chargers,Mark Seay 15 yard pass from Stan Humphries (John Carney kick),0,7
1,2.0,,Cardinals,Larry Centers 22 yard pass from Dave Krieg (Greg Davis kick),7,7
2,2.0,,Cardinals,Clyde Simmons 25 yard interception return (Greg Davis kick),14,7
3,2.0,,Chargers,Ronnie Harmon 3 yard pass from Stan Humphries (John Carney kick),14,14
4,3.0,2:21,Chargers,Andre Coleman 92 yard kickoff return (John Carney kick),14,21
5,3.0,2:21,Chargers,Mark Seay 38 yard pass from Stan Humphries (John Carney kick),14,28
6,3.0,2:21,Cardinals,Greg Davis 36 yard field goal,17,28
7,4.0,2:21,Cardinals,Stevie Anderson 12 yard pass from Dave Krieg (Stevie Anderson pass from Dave Krieg),25,28
