,Quarter,Tm,Detail,DAL,MIN
0,1.0,Cowboys,Mike Clark 19 yard field goal,3,0
1,1.0,Vikings,Dave Osborn 1 yard rush (Fred Cox kick),3,7
2,1.0,Vikings,Ed Sharockman 23 yard blocked punt return (Fred Cox kick),3,14
3,2.0,Cowboys,Mike Clark 43 yard field goal,6,14
4,2.0,Vikings,Fred Cox 42 yard field goal,6,17
5,2.0,Vikings,Ed Sharockman 34 yard interception return (Fred Cox kick),6,24
6,2.0,Vikings,Clint Jones 2 yard rush (Fred Cox kick),6,31
7,2.0,Vikings,Fred Cox 31 yard field goal,6,34
8,3.0,Vikings,Fred Cox 28 yard field goal,6,37
9,3.0,Vikings,John Beasley 2 yard pass from Gary Cuozzo (Fred Cox kick),6,44
10,3.0,Vikings,Clint Jones 1 yard rush (Fred Cox kick),6,51
11,4.0,Vikings,Fred Cox 34 yard field goal,6,54
12,4.0,Cowboys,Calvin Hill 18 yard rush (Mike Clark kick),13,54
