,Quarter,Time,Tm,Detail,GNB,DAL
0,1.0,,Packers,Chris Jacke 46 yard field goal,3,0
1,1.0,,Cowboys,Michael Irvin 6 yard pass from Troy Aikman (Chris Boniol kick),3,7
2,1.0,,Cowboys,Michael Irvin 4 yard pass from Troy Aikman (Chris Boniol kick),3,14
3,1.0,,Packers,Robert Brooks 73 yard pass from Brett Favre (Chris Jacke kick),10,14
4,2.0,,Packers,Keith Jackson 24 yard pass from Brett Favre (Chris Jacke kick),17,14
5,2.0,,Cowboys,Chris Boniol 34 yard field goal,17,17
6,2.0,,Cowboys,Emmitt Smith 1 yard rush (Chris Boniol kick),17,24
7,3.0,,Packers,Chris Jacke 37 yard field goal,20,24
8,3.0,,Packers,Robert Brooks 1 yard pass from Brett Favre (Chris Jacke kick),27,24
9,4.0,,Cowboys,Emmitt Smith 5 yard rush (Chris Boniol kick),27,31
10,4.0,,Cowboys,Emmitt Smith 16 yard rush (Chris Boniol kick),27,38
