,Quarter,Time,Tm,Detail,CLE,BAL
0,1.0,9:24,Browns,Phil Dawson 29 yard field goal,3,0
1,2.0,10:10,Browns,Ben Gay 7 yard rush (Phil Dawson kick),10,0
2,2.0,8:09,Browns,Devin Bush Sr. 43 yard interception return (Phil Dawson kick),17,0
3,2.0,5:34,Ravens,Brandon Stokley 21 yard pass from Elvis Grbac (Matt Stover kick),17,7
4,2.0,2:00,Browns,Phil Dawson 42 yard field goal,20,7
5,3.0,6:07,Ravens,Todd Heap 24 yard pass from Elvis Grbac (Matt Stover kick),20,14
6,3.0,1:30,Ravens,Matt Stover 42 yard field goal,20,17
7,4.0,4:02,Browns,Jamel White 1 yard rush (Phil Dawson kick),27,17
