,Quarter,Tm,Detail,SDG,KAN
0,1.0,Chiefs,Stephone Paige 45 yard pass from Todd Blackledge (Nick Lowery kick),0,7
1,1.0,Chargers,Gary Anderson 7 yard pass from Dan Fouts (Rolf Benirschke kick),7,7
2,2.0,Chiefs,Lloyd Burruss 56 yard interception return (Nick Lowery kick),7,14
3,2.0,Chiefs,Kevin Ross 21 yard special teams fumble return (Nick Lowery kick),7,21
4,2.0,Chargers,Buford McGee 1 yard rush (Rolf Benirschke kick),14,21
5,2.0,Chiefs,Lloyd Burruss 47 yard interception return (Nick Lowery kick),14,28
6,2.0,Chargers,Rolf Benirschke 30 yard field goal,17,28
7,2.0,Chargers,Leslie O'Neal 5 yard interception return (Rolf Benirschke kick),24,28
8,3.0,Chiefs,Stephone Paige 16 yard pass from Bill Kenney (Nick Lowery kick),24,35
9,3.0,Chargers,Gary Anderson 2 yard rush (Rolf Benirschke kick),31,35
10,4.0,Chargers,Rolf Benirschke 21 yard field goal,34,35
11,4.0,Chiefs,Boyce Green 1 yard rush (Nick Lowery kick),34,42
12,4.0,Chargers,Gary Anderson 12 yard pass from Mark Herrmann (Rolf Benirschke kick),41,42
