,Quarter,Tm,Detail,PIT,RAI
0,1.0,Steelers,Gary Anderson 31 yard field goal,3,0
1,2.0,Raiders,Jeff Jaeger 40 yard field goal,3,3
2,3.0,Raiders,Jeff Jaeger 45 yard field goal,3,6
3,4.0,Raiders,Marcus Allen 1 yard rush (Jeff Jaeger kick),3,13
4,4.0,Raiders,Mervyn Fernandez 66 yard pass from Jay Schroeder (Jeff Jaeger kick),3,20
