,Quarter,Tm,Detail,BOS,WAS
0,2.0,Yanks,Gary Famiglietti 1 yard rush (Nick Scollard kick),7,0
1,2.0,Redskins,Dick Poillon 30 yard field goal,7,3
2,3.0,Redskins,Dick Todd unknown yard rush (Dick Poillon kick),7,10
3,3.0,Yanks,Gary Famiglietti 1 yard rush (Nick Scollard kick),14,10
4,4.0,Redskins,Dick Todd 29 yard rush (Dick Poillon kick),14,17
