,Quarter,Time,Tm,Detail,BAL,JAX
0,1.0,,Jaguars,Fred Taylor 52 yard rush (Mike Hollis kick),0,7
1,1.0,,Ravens,Matt Stover 25 yard field goal,3,7
2,2.0,,Ravens,Jermaine Lewis 56 yard pass from Eric Zeier (Matt Stover kick),10,7
3,2.0,0:10,Jaguars,Mike Hollis 34 yard field goal,10,10
4,3.0,0:10,Jaguars,Jimmy Smith 72 yard pass from Mark Brunell (Mike Hollis kick),10,17
5,3.0,0:10,Jaguars,Damon Jones 1 yard pass from Mark Brunell (Mike Hollis kick),10,24
