,Quarter,Time,Tm,Detail,TEN,SFO
0,1.0,3:31,Titans,Al Del Greco 21 yard field goal,3,0
1,2.0,9:32,Titans,Eddie George 54 yard pass from Neil O'Donnell (Al Del Greco kick),10,0
2,2.0,4:04,49ers,Jeff Garcia 1 yard rush (Wade Richey kick),10,7
3,2.0,1:56,49ers,Charlie Garner 21 yard pass from Jeff Garcia (Wade Richey kick),10,14
4,3.0,2:43,Titans,Al Del Greco 22 yard field goal,13,14
5,4.0,10:50,49ers,Wade Richey 39 yard field goal,13,17
6,4.0,6:55,49ers,Terrell Owens 22 yard pass from Jeff Garcia (Wade Richey kick),13,24
7,4.0,3:38,Titans,Al Del Greco 28 yard field goal,16,24
8,4.0,1:48,Titans,Yancey Thigpen 32 yard pass from Neil O'Donnell (run failed),22,24
