,Quarter,Tm,Detail,CRD,PIT
0,1,Steelers,Fran Rogel 13 yard rush (Gary Glick kick),0,7
1,3,Steelers,Jack Butler 6 yard fumble return (Gary Glick kick),0,14
2,4,Cardinals,Ollie Matson 45 yard pass from Lamar McHan (Pat Summerall kick),7,14
