,Quarter,Tm,Detail,ATL,GNB
0,1.0,Falcons,Brad Beckman 3 yard pass from Hugh Millen (Paul McFadden kick),7,0
1,2.0,Packers,Chris Jacke 35 yard field goal,7,3
2,2.0,Falcons,John Settle 1 yard rush (Paul McFadden kick),14,3
3,2.0,Packers,Chris Jacke 52 yard field goal,14,6
4,3.0,Falcons,Gene Lang 10 yard rush (Paul McFadden kick),21,6
5,4.0,Packers,Sterling Sharpe 5 yard offensive fumble return (Chris Jacke kick),21,13
6,4.0,Packers,Herman Fontenot 37 yard pass from Don Majkowski (Chris Jacke kick),21,20
7,4.0,Packers,Chris Jacke 22 yard field goal,21,23
