,Quarter,Time,Tm,Detail,CIN,PIT
0,1.0,4:43,Steelers,Jeff Reed 28 yard field goal,0,3
1,1.0,4:26,Bengals,Bernard Scott 96 yard kickoff return (run failed),6,3
2,2.0,4:13,Steelers,Jeff Reed 33 yard field goal,6,6
3,2.0,0:12,Steelers,Jeff Reed 35 yard field goal,6,9
4,3.0,11:19,Bengals,Shayne Graham 23 yard field goal,9,9
5,3.0,6:41,Bengals,Shayne Graham 32 yard field goal,12,9
6,4.0,11:20,Steelers,Jeff Reed 34 yard field goal,12,12
7,4.0,7:29,Bengals,Shayne Graham 32 yard field goal,15,12
8,4.0,1:56,Bengals,Shayne Graham 43 yard field goal,18,12
