,Quarter,Tm,Detail,BAL,PHI
0,1.0,Colts,Buddy Young 104 yard kickoff return (Buck McPhail kick),7,0
1,1.0,Eagles,Hal Giancanelli 47 yard pass from Bobby Thomason (Bobby Walston kick),7,7
2,2.0,Eagles,Pete Pihos 56 yard pass from Bobby Thomason (Bobby Walston kick),7,14
3,2.0,Eagles,Don Johnson 24 yard pass from Bobby Thomason (Bobby Walston kick),7,21
4,4.0,Eagles,Don Johnson 3 yard rush (Bobby Walston kick),7,28
5,4.0,Eagles,Don Johnson 66 yard rush (Bobby Walston kick),7,35
6,4.0,Eagles,Bobby Walston 22 yard field goal,7,38
7,4.0,Colts,Bert Rechichar 66 yard pass from Jack Del Bello (Buck McPhail kick),14,38
8,4.0,Eagles,Chuck Bednarik 26 yard interception return (Bobby Walston kick),14,45
