,Quarter,Tm,Detail,MIN,PHI
0,1.0,Eagles,Paul McFadden 29 yard field goal,0,3
1,1.0,Eagles,John Spagnola 28 yard pass from Ron Jaworski (Paul McFadden kick),0,10
2,2.0,Eagles,Paul McFadden 33 yard field goal,0,13
3,2.0,Eagles,Mike Quick 9 yard pass from Ron Jaworski (Paul McFadden kick),0,20
4,3.0,Eagles,Paul McFadden 25 yard field goal,0,23
5,4.0,Vikings,Allen Rice 7 yard pass from Wade Wilson (Jan Stenerud kick),7,23
6,4.0,Vikings,Willie Teal 65 yard defensive fumble return (Jan Stenerud kick),14,23
7,4.0,Vikings,Anthony Carter 36 yard pass from Wade Wilson (Jan Stenerud kick),21,23
8,4.0,Vikings,Anthony Carter 42 yard pass from Wade Wilson (Jan Stenerud kick),28,23
