,Quarter,Tm,Detail,DET,SFO
0,1,49ers,Joe Perry 1 yard rush (Gordie Soltau kick),0,7
1,2,Lions,Doak Walker 21 yard field goal,3,7
2,3,49ers,J.R. Boone 47 yard pass from Frankie Albert (Gordie Soltau kick),3,14
3,4,49ers,Gordie Soltau 27 yard field goal,3,17
