,Quarter,Tm,Detail,WAS,DAL
0,1.0,Cowboys,Jay Novacek 3 yard pass from Troy Aikman (Ken Willis kick),0,7
1,1.0,Redskins,Jimmie Johnson 3 yard pass from Mark Rypien (Chip Lohmiller kick),7,7
2,1.0,Cowboys,Emmitt Smith 75 yard rush (Ken Willis kick),7,14
3,2.0,Redskins,Chip Lohmiller 53 yard field goal,10,14
4,2.0,Cowboys,Emmitt Smith 5 yard pass from Troy Aikman (Ken Willis kick),10,21
5,2.0,Redskins,Art Monk 37 yard pass from Mark Rypien (Chip Lohmiller kick),17,21
6,2.0,Redskins,Chip Lohmiller 52 yard field goal,20,21
7,3.0,Redskins,Chip Lohmiller 45 yard field goal,23,21
8,3.0,Cowboys,Ken Willis 51 yard field goal,23,24
9,4.0,Redskins,Gerald Riggs 1 yard rush (Chip Lohmiller kick),30,24
10,4.0,Redskins,Chip Lohmiller 46 yard field goal,33,24
11,4.0,Cowboys,Michael Irvin 6 yard pass from Troy Aikman (Ken Willis kick),33,31
