,Quarter,Tm,Detail,GNB,NYG
0,2.0,Packers,Ted Fritsch 1 yard rush (Don Hutson kick),7,0
1,2.0,Packers,Ted Fritsch 28 yard pass from Irv Comp (Don Hutson kick),14,0
2,4.0,Giants,Ward Cuff 1 yard rush (Ken Strong kick),14,7
