,Quarter,Tm,Detail,HOU,PIT
0,1.0,Oilers,Vernon Perry 75 yard interception return (Toni Fritsch kick),7,0
1,1.0,Steelers,Matt Bahr 21 yard field goal,7,3
2,2.0,Oilers,Toni Fritsch 21 yard field goal,10,3
3,2.0,Steelers,Bennie Cunningham 16 yard pass from Terry Bradshaw (Matt Bahr kick),10,10
4,2.0,Steelers,John Stallworth 20 yard pass from Terry Bradshaw (Matt Bahr kick),10,17
5,4.0,Oilers,Toni Fritsch 23 yard field goal,13,17
6,4.0,Steelers,Matt Bahr 39 yard field goal,13,20
7,4.0,Steelers,Rocky Bleier 4 yard rush (Matt Bahr kick),13,27
