,Quarter,Time,Tm,Detail,WAS,CAR
0,1.0,,Panthers,John Kasay 52 yard field goal,0,3
1,2.0,,Redskins,Scott Blanton 38 yard field goal,3,3
2,2.0,,Redskins,Terry Allen 1 yard rush (Scott Blanton kick),10,3
3,4.0,,Panthers,Wesley Walls 24 yard pass from Steve Beuerlein (John Kasay kick),10,10
4,4.0,,Redskins,Terry Allen 1 yard rush (Scott Blanton kick),17,10
5,4.0,,Redskins,Leslie Shepherd 5 yard pass from Gus Frerotte (Scott Blanton kick),24,10
