,Quarter,Tm,Detail,CIN,GNB
0,1.0,Packers,Gary Ellerson 2 yard rush (Al Del Greco kick),0,7
1,2.0,Bengals,Cris Collinsworth 13 yard pass from Boomer Esiason (Jim Breech kick),7,7
2,2.0,Bengals,James Brooks 9 yard rush,13,7
3,2.0,Bengals,James Brooks 8 yard rush (Jim Breech kick),20,7
4,2.0,Bengals,Cris Collinsworth 7 yard pass from Boomer Esiason (Jim Breech kick),27,7
5,3.0,Packers,Paul Ott Carruth 3 yard pass from Randy Wright (Al Del Greco kick),27,14
6,4.0,Bengals,Eddie Brown 15 yard pass from Boomer Esiason (Jim Breech kick),34,14
7,4.0,Packers,James Lofton 15 yard pass from Randy Wright (Al Del Greco kick),34,21
8,4.0,Packers,Gary Ellerson 1 yard rush (Al Del Greco kick),34,28
