,Quarter,Tm,Detail,CIN,PIT
0,1.0,Steelers,Lynn Swann 3 yard pass from Terry Bradshaw (Roy Gerela kick),0,7
1,1.0,Steelers,J.T. Thomas 21 yard defensive fumble return (Roy Gerela kick),0,14
2,2.0,Bengals,Stan Fritts 1 yard rush (Dave Green kick),7,14
3,2.0,Steelers,Franco Harris 10 yard rush (Roy Gerela kick),7,21
4,3.0,Steelers,Terry Bradshaw 7 yard rush (Roy Gerela kick),7,28
5,4.0,Steelers,Franco Harris 2 yard rush (Roy Gerela kick),7,35
6,4.0,Bengals,Isaac Curtis 1 yard pass from Ken Anderson (Dave Green kick),14,35
