,Quarter,Tm,Detail,OAK,PHI
0,1.0,Eagles,Harold Carmichael 1 yard pass from Roman Gabriel (Horst Muhlmann kick),0,7
1,1.0,Raiders,Errol Mann 32 yard field goal,3,7
2,1.0,Raiders,"Safety, Hendricks blocked punt in end zone",5,7
3,1.0,Raiders,Mark van Eeghen 1 yard rush (Errol Mann kick),12,7
4,3.0,Raiders,Fred Biletnikoff 16 yard pass from Ken Stabler (Errol Mann kick),19,7
5,4.0,Raiders,Clarence Davis 8 yard rush (Errol Mann kick),26,7
