,Quarter,Tm,Detail,STL,PHI
0,1.0,Eagles,Mike Clark 28 yard field goal,0,3
1,2.0,Eagles,Sonny Jurgensen 1 yard rush (Mike Clark kick),0,10
2,2.0,Cardinals,Bill Triplett 1 yard rush (Jim Bakken kick),7,10
3,2.0,Eagles,Timmy Brown 7 yard rush (Mike Clark kick),7,17
4,2.0,Cardinals,Bobby Joe Conrad 29 yard pass from Charley Johnson (Jim Bakken kick),14,17
5,3.0,Cardinals,Sonny Randle 15 yard pass from Charley Johnson (Jim Bakken kick),21,17
6,3.0,Eagles,Timmy Brown 100 yard kickoff return (Mike Clark kick),21,24
7,4.0,Cardinals,Sonny Randle 16 yard pass from Charley Johnson (Jim Bakken kick),28,24
