,Quarter,Tm,Detail,RAM,CHI
0,1.0,Bears,George Blanda 32 yard field goal,0,3
1,2.0,Rams,Paige Cothren 17 yard field goal,3,3
2,2.0,Bears,Willie Galimore 18 yard rush (George Blanda kick),3,10
3,2.0,Bears,Willie Galimore 17 yard rush (George Blanda kick),3,17
4,3.0,Rams,Paige Cothren 22 yard field goal,6,17
5,3.0,Rams,Tommy Wilson 13 yard rush (Paige Cothren kick),13,17
6,3.0,Bears,Willie Galimore 16 yard touchdown on a lateral (George Blanda kick),13,24
7,4.0,Bears,Willie Galimore 1 yard rush (George Blanda kick),13,31
8,4.0,Bears,George Blanda 42 yard field goal,13,34
9,4.0,Rams,Jon Arnett 66 yard pass from Norm Van Brocklin (Paige Cothren kick),20,34
10,4.0,Rams,Norm Van Brocklin 1 yard rush,26,34
