,Quarter,Time,Tm,Detail,IND,MIA
0,1,,Dolphins,Terry Kirby 3 yard rush (Pete Stoyanovich kick),0,7
1,1,,Dolphins,Irving Spikes 5 yard pass from Dan Marino (Pete Stoyanovich kick),0,14
2,2,,Colts,Cary Blanchard 21 yard field goal,3,14
3,2,,Dolphins,Terry Kirby 2 yard rush (Pete Stoyanovich kick),3,21
4,2,,Dolphins,Pete Stoyanovich 51 yard field goal,3,24
5,3,,Colts,Floyd Turner 3 yard pass from Jim Harbaugh (Cary Blanchard kick),10,24
6,4,,Colts,Floyd Turner 47 yard pass from Jim Harbaugh (Cary Blanchard kick),17,24
7,4,,Colts,Aaron Bailey 21 yard pass from Jim Harbaugh (Cary Blanchard kick),24,24
8,OT,,Colts,Cary Blanchard 27 yard field goal,27,24
