,Quarter,Time,Tm,Detail,MIA,JAX
0,2.0,14:46,Dolphins,Louis Delmas 81 yard interception return (Caleb Sturgis kick),7,0
1,2.0,6:28,Jaguars,Josh Scobee 30 yard field goal,7,3
2,2.0,0:58,Dolphins,Caleb Sturgis 43 yard field goal,10,3
3,3.0,12:16,Dolphins,Brent Grimes 22 yard interception return (Caleb Sturgis kick),17,3
4,3.0,7:55,Jaguars,Josh Scobee 40 yard field goal,17,6
5,3.0,2:18,Dolphins,Rishard Matthews 3 yard pass from Ryan Tannehill (Caleb Sturgis kick),24,6
6,4.0,3:54,Dolphins,Caleb Sturgis 29 yard field goal,27,6
7,4.0,2:19,Jaguars,Allen Robinson 48 yard pass from Blake Bortles (Josh Scobee kick),27,13
