,Quarter,Time,Tm,Detail,TAM,CHI
0,2.0,3:22,Buccaneers,Martin Gramatica 30 yard field goal,3,0
1,2.0,0:02,Buccaneers,Martin Gramatica 32 yard field goal,6,0
2,4.0,13:12,Buccaneers,Martin Gramatica 33 yard field goal,9,0
3,4.0,7:01,Buccaneers,Martin Gramatica 26 yard field goal,12,0
4,4.0,3:09,Buccaneers,Martin Gramatica 33 yard field goal,15,0
