,Quarter,Tm,Detail,NWE,PHI
0,1.0,Eagles,Roger Ruzek 27 yard field goal,0,3
1,1.0,Patriots,Jason Staurovsky 39 yard field goal,3,3
2,1.0,Eagles,Fred Barnett 37 yard pass from Randall Cunningham (Roger Ruzek kick),3,10
3,2.0,Eagles,Roger Ruzek 34 yard field goal,3,13
4,2.0,Patriots,Irving Fryar 36 yard pass from Marc Wilson (Jason Staurovsky kick),10,13
5,2.0,Eagles,Keith Jackson 37 yard pass from Randall Cunningham (Roger Ruzek kick),10,20
6,3.0,Eagles,Calvin Williams 23 yard pass from Randall Cunningham (Roger Ruzek kick),10,27
7,3.0,Patriots,Jason Staurovsky 44 yard field goal,13,27
8,4.0,Eagles,Keith Jackson 3 yard pass from Randall Cunningham (Roger Ruzek kick),13,34
9,4.0,Patriots,Marv Cook 14 yard pass from Marc Wilson (Jason Staurovsky kick),20,34
10,4.0,Eagles,Randall Cunningham 52 yard rush (Roger Ruzek kick),20,41
11,4.0,Eagles,Roger Vick 1 yard rush (Roger Ruzek kick),20,48
