,Quarter,Time,Tm,Detail,DET,ARI
0,1.0,2:55,Cardinals,Thomas Jones 3 yard rush (Bill Gramatica kick),0,7
1,2.0,11:26,Lions,Cory Schlesinger 1 yard rush (Jason Hanson kick),7,7
2,2.0,7:00,Lions,David Sloan 2 yard pass from Charlie Batch (Jason Hanson kick),14,7
3,2.0,0:17,Cardinals,David Boston 13 yard pass from Jake Plummer (Bill Gramatica kick),14,14
4,3.0,7:43,Lions,Lamont Warren 3 yard rush (Jason Hanson kick),21,14
5,3.0,6:13,Cardinals,Frank Sanders 68 yard pass from Jake Plummer (Bill Gramatica kick),21,21
6,3.0,4:55,Lions,David Sloan 1 yard pass from Charlie Batch (Jason Hanson kick),28,21
7,3.0,0:02,Lions,Jason Hanson 49 yard field goal,31,21
8,4.0,13:11,Cardinals,David Boston 18 yard pass from Jake Plummer (Bill Gramatica kick),31,28
9,4.0,10:04,Cardinals,MarTay Jenkins 3 yard pass from Jake Plummer (Bill Gramatica kick),31,35
10,4.0,9:04,Cardinals,Fred Wakefield 20 yard interception return (Bill Gramatica kick),31,42
11,4.0,6:32,Cardinals,Bill Gramatica 50 yard field goal,31,45
12,4.0,4:11,Lions,Lamont Warren 6 yard pass from Charlie Batch (Jason Hanson kick),38,45
