,Quarter,Tm,Detail,STL,NYG
0,1.0,Giants,Larry Watkins 1 yard rush (Joe Danelo kick),0,7
1,2.0,Cardinals,Steve Jones 1 yard rush (Jim Bakken kick),7,7
2,3.0,Cardinals,Jim Bakken 43 yard field goal,10,7
3,4.0,Giants,Doug Kotar 3 yard rush (Joe Danelo kick),10,14
4,4.0,Cardinals,Steve Jones 1 yard rush (Jim Bakken kick),17,14
