,Quarter,Time,Tm,Detail,PHI,DAL
0,1.0,,Eagles,Chris Boniol 21 yard field goal,3,0
1,1.0,,Cowboys,Eric Bjornson 7 yard rush (Richie Cunningham kick),3,7
2,3.0,,Eagles,Chris Boniol 41 yard field goal,6,7
3,3.0,,Cowboys,Richie Cunningham 42 yard field goal,6,10
4,3.0,,Cowboys,Richie Cunningham 41 yard field goal,6,13
5,4.0,,Eagles,Chris Boniol 39 yard field goal,9,13
