,Quarter,Tm,Detail,OAK,SDG
0,1.0,Chargers,John Jefferson 24 yard pass from Dan Fouts (Rolf Benirschke kick),0,7
1,1.0,Chargers,Bob Klein 54 yard pass from Dan Fouts (Rolf Benirschke kick),0,14
2,2.0,Raiders,Jim Breech 35 yard field goal,3,14
3,2.0,Chargers,Woodrow Lowe 32 yard interception return (Rolf Benirschke kick),3,21
4,3.0,Raiders,Rich Martini 22 yard pass from Ken Stabler (Jim Breech kick),10,21
5,3.0,Chargers,"Safety, McCrary blocked punt out of end zone",10,23
6,4.0,Chargers,Kellen Winslow 5 yard pass from Dan Fouts (Cliff Olander kick),10,30
