,Quarter,Time,Tm,Detail,DEN,KAN
0,1,6:04,Chiefs,Todd Peterson 51 yard field goal,0,3
1,1,3:23,Chiefs,Priest Holmes 12 yard rush (Todd Peterson kick),0,10
2,2,9:29,Broncos,Rod Smith 11 yard pass from Gus Frerotte (Jason Elam kick),7,10
3,2,4:29,Chiefs,Todd Peterson 43 yard field goal,7,13
4,2,0:20,Broncos,Jason Elam 34 yard field goal,10,13
5,3,10:37,Chiefs,Derrick Alexander 24 yard pass from Trent Green (Todd Peterson kick),10,20
6,3,5:08,Broncos,Gus Frerotte 4 yard rush (Jason Elam kick),17,20
7,4,14:20,Broncos,Jason Elam 36 yard field goal,20,20
8,4,5:12,Chiefs,Todd Peterson 41 yard field goal,20,23
9,4,1:13,Broncos,Jason Elam 49 yard field goal,23,23
10,OT,5:56,Chiefs,Todd Peterson 32 yard field goal,23,26
