,Quarter,Tm,Detail,HOU,PIT
0,1.0,Steelers,Sidney Thornton 29 yard pass from Terry Bradshaw (Matt Bahr kick),0,7
1,1.0,Steelers,Franco Harris 1 yard rush (Matt Bahr kick),0,14
2,1.0,Steelers,Matt Bahr 27 yard field goal,0,17
3,3.0,Oilers,Toni Fritsch 31 yard field goal,3,17
4,3.0,Oilers,Billy Johnson 57 yard pass from Earl Campbell (Toni Fritsch kick),10,17
5,3.0,Oilers,Earl Campbell 1 yard rush (Toni Fritsch kick),17,17
6,4.0,Steelers,Terry Bradshaw 1 yard rush (Matt Bahr kick),17,24
7,4.0,Steelers,John Stallworth 50 yard pass from Terry Bradshaw (Matt Bahr kick),17,31
