,Quarter,Time,Tm,Detail,GNB,MIN
0,1.0,14:47,Vikings,Cordarrelle Patterson 109 yard kickoff return (Blair Walsh kick),0,7
1,1.0,7:23,Packers,Jordy Nelson 11 yard pass from Aaron Rodgers (Mason Crosby kick),7,7
2,2.0,10:29,Packers,Mason Crosby 30 yard field goal,10,7
3,2.0,5:09,Vikings,Blair Walsh 36 yard field goal,10,10
4,2.0,3:38,Packers,Jordy Nelson 76 yard pass from Aaron Rodgers (Mason Crosby kick),17,10
5,2.0,1:30,Packers,Micah Hyde 93 yard punt return (Mason Crosby kick),24,10
6,2.0,0:04,Vikings,Adrian Peterson 8 yard rush (Blair Walsh kick),24,17
7,3.0,6:50,Packers,Eddie Lacy 1 yard rush (Mason Crosby kick),31,17
8,4.0,14:16,Packers,James Starks 25 yard rush (Mason Crosby kick),38,17
9,4.0,6:10,Packers,Mason Crosby 20 yard field goal,41,17
10,4.0,4:42,Vikings,Toby Gerhart 13 yard rush (Blair Walsh kick),41,24
11,4.0,2:53,Packers,Mason Crosby 45 yard field goal,44,24
12,4.0,1:24,Vikings,Christian Ponder 19 yard rush (Blair Walsh kick),44,31
